Mã số,Tỉnh,Chung,Thành thị,Nông thôn
1,Hà Nội,0.64,0.39,0.86
2,Hà Giang,1.07,1.93,0.83
4,Cao Bằng,3.64,2.44,4.33
6,Bắc Kạn,4.05,3.32,4.35
8,Tuyên Quang,2.86,2.91,2.85
10,Lào Cai,0.62,0.48,0.66
11,Điện Biên,3.77,2.08,4.07
12,Lai Châu,1.02,2.69,0.46
14,Sơn La,0.32,0.72,0.25
15,Yên Bái,1.61,2.1,1.47
17,Hòa Bình,2.22,0.68,2.65
19,Thái Nguyên,4.07,3.04,4.55
20,Lạng Sơn,4.3,3.16,4.76
22,Quảng Ninh,0.11,0.16,0
24,Bắc Giang,1.84,5.1,1.14
25,Phú Thọ,1.76,0.86,1.96
26,Vĩnh Phúc,0.67,1.46,0.35
27,Bắc Ninh,1.09,0.5,1.42
30,Hải Dương,1.08,0.38,1.43
31,Hải Phòng,1.48,2.22,0.92
33,Hưng Yên,3.6,4.44,3.43
34,Thái Bình,0.43,0.11,0.47
35,Hà Nam,1.71,2,1.63
36,Nam Định,0.75,1.01,0.68
37,Ninh Bình,0.21,0.53,0.12
38,Thanh Hóa,1.09,0.87,1.18
40,Nghệ An,3.67,2.56,3.88
42,Hà Tĩnh,2.63,0.46,3.39
44,Quảng Bình,2.6,0.98,3.14
45,Quảng Trị,3.3,2.11,3.92
46,Thừa Thiên Huế,1.98,1.48,2.56
48,Đà Nẵng,5.19,4.87,7.12
49,Quảng Nam,5.19,5.93,4.92
51,Quảng Ngãi,4.39,3.46,4.66
52,Bình Định,1.79,1.8,1.78
54,Phú Yên,3.39,2.03,4.02
56,Khánh Hòa,3.56,3.68,3.47
58,Ninh Thuận,4.7,7.88,2.97
60,Bình Thuận,2.62,1.45,3.33
62,Kon Tum,1.33,1.02,1.46
64,Gia Lai,2.85,2.11,3.15
66,Đắk Lắk,4.23,4.12,4.27
67,Đắk Nông,1.06,0.97,1.08
68,Lâm Đồng,2.31,0.76,3.23
70,Bình Phước,4.96,1.93,6.27
72,Tây Ninh,1.06,1.3,0.94
74,Bình Dương,1.42,1.63,0.17
75,Đồng Nai,1.22,0.67,1.67
77,Bà Rịa-Vũng Tàu,1.33,0.79,2.13
79,Thành phố Hồ Chí Minh,1.04,1.18,0.51
80,Long An,3.01,2.73,3.07
82,Tiền Giang,3.3,4.73,3.09
83,Bến Tre,4.17,3.3,4.26
84,Trà Vinh,3.65,1.5,4.12
86,Vĩnh Long,4.86,3.45,5.26
87,Đồng Tháp,2.68,3,2.6
89,An Giang,3.31,1.98,4.06
91,Kiên Giang,6.78,2.96,8.38
92,Cần Thơ,3.13,2.7,4.11
93,Hậu Giang,3.1,0.86,4.09
94,Sóc Trăng,3.55,4.87,2.9
95,Bạc Liêu,1.59,1.6,1.59
96,Cà Mau,2.7,2.36,2.8
