Mã số,Tỉnh,Chung,Thành thị,Nông thôn
1,Hà Nội,0.43,0.27,0.69
2,Hà Giang,2.67,1.51,3.03
4,Cao Bằng,0.29,0.3,0.26
6,Bắc Kạn,0.17,0.23,0.17
8,Tuyên Quang,0.25,0.4,0.21
10,Lào Cai,2.54,1.49,2.73
11,Điện Biên,1.05,0.8,1.08
12,Lai Châu,0.6,0.22,0.7
14,Sơn La,4.6,2.43,4.94
15,Yên Bái,0.6,1.33,0.46
17,Hoà Bình,0.02,0.14,0
19,Thái Nguyên,0.34,0.75,0.26
20,Lạng Sơn,0.79,0.13,0.88
22,Quảng Ninh,1.33,0.79,1.58
24,Bắc Giang,3.45,2.87,3.58
25,Phú Thọ,0.21,0.21,0.22
26,Vĩnh Phúc,0.86,0.23,0.93
27,Bắc Ninh,1.8,1.02,1.96
30,Hải Dƣơng,0.84,0.68,0.9
31,Hải Phòng,0.59,0.93,0.47
33,Hƣng Yên,0.92,0.54,1.03
34,Thái Bình,1.08,1.17,1
35,Hà Nam,2.55,0.91,2.76
36,Nam Định,0.41,0,0.45
37,Ninh Bình,0.91,0.67,0.95
38,Thanh Hoá,1.66,1.27,1.74
40,Nghệ An,0.7,0.37,0.77
42,Hà Tĩnh,1.48,0.22,1.7
44,Quảng Bình,1.55,1.39,1.58
45,Quảng Trị,1.73,1.27,1.83
46,Thừa Thiên Huế,1.93,0.64,2.24
48,Đà Nẵng,0.72,1.1,0.57
49,Quảng Nam,1.3,1.12,1.47
51,Quảng Ngãi,0.54,0.61,0.14
52,Bình Định,0.97,1.33,0.86
54,Phú Yên,1.28,1.28,1.28
56,Khánh Hoà,0.93,1.31,0.78
58,Ninh Thuận,1.21,0.65,1.41
60,Bình Thuận,1.17,0.83,1.43
62,Kon Tum,2.87,1.39,3.61
64,Gia Lai,0.74,0.39,0.95
66,Đắk Lắk,0.16,0.2,0.14
67,Đắk Nông,0.84,0.55,0.95
68,Lâm Đồng,3.93,0.46,5.02
70,Bình Phƣớc,0.73,0.44,0.77
72,Tây Ninh,2.37,1.38,2.94
74,Bình Dƣơng,1.38,0.25,1.72
75,Đồng Nai,0.6,0.74,0.57
77,Bà Rịa-Vũng Tàu,0.19,0.17,0.28
79,Thành phố Hồ Chí Minh,0.64,0.33,0.8
80,Long An,0.84,0.63,1.05
82,Tiền Giang,0.21,0.23,0.11
83,Bến Tre,1.91,1.24,2.05
84,Trà Vinh,3.26,3.24,3.26
86,Vĩnh Long,3.14,3.13,3.14
87,Đồng Tháp,1.26,0.94,1.33
89,An Giang,4.18,2.49,4.5
91,Kiên Giang,3.01,0.91,3.4
92,Cần Thơ,2.9,2.15,3.22
93,Hậu Giang,2.63,0.62,3.44
94,Sóc Trăng,1.76,1.02,3.24
95,Bạc Liêu,0.88,1.06,0.83
96,Cà Mau,3.14,2.41,3.43
