Mã số,Tỉnh,Chung,Thành thị,Nông thôn
1,Hà Nội,1.78,2.26,1.37
2,Hà Giang,0.93,1.42,0.84
4,Cao Bằng,0.79,2.45,0.34
6,Bắc Kạn,1.07,4.82,0.24
8,Tuyên Quang,1.44,2.72,1.25
10,Lào Cai,1.81,2.78,1.54
11,Điện Biên,0.47,3.15,0.04
12,Lai Châu,0.54,2.72,0.18
14,Sơn La,0.74,2.29,0.54
15,Yên Bái,1.66,1.98,1.6
17,Hoà Bình,0.65,1.81,0.47
19,Thái Nguyên,1.61,2.32,1.35
20,Lạng Sơn,2.82,5.9,2.16
22,Quảng Ninh,2.73,3.51,1.49
24,Bắc Giang,1.37,4.45,1.01
25,Phú Thọ,1.46,3.21,1.14
26,Vĩnh Phúc,1.79,2.02,1.71
27,Bắc Ninh,2.48,2.08,2.62
30,Hải Dƣơng,1.99,1.55,2.19
31,Hải Phòng,2.06,3.94,0.62
33,Hƣng Yên,2.08,1.8,2.13
34,Thái Bình,1.32,2.15,1.24
35,Hà Nam,1.83,1.7,1.86
36,Nam Định,1.31,2.94,0.97
37,Ninh Bình,0.52,2.73,0.02
38,Thanh Hoá,1.4,4.72,0.87
40,Nghệ An,1.3,3.74,0.93
42,Hà Tĩnh,3.36,5.23,2.92
44,Quảng Bình,1.34,4.47,0.52
45,Quảng Trị,3.16,5.96,1.96
46,Thừa Thiên Huế,4.21,4.3,4.12
48,Đà Nẵng,3.55,3.37,4.73
49,Quảng Nam,3.2,3.08,3.24
51,Quảng Ngãi,2.3,2.52,2.26
52,Bình Định,3.42,4.11,3.13
54,Phú Yên,2.17,3.27,1.77
56,Khánh Hoà,3.49,4.47,2.85
58,Ninh Thuận,2.93,3.67,2.54
60,Bình Thuận,2.94,5.2,1.58
62,Kon Tum,1.16,3.37,0.16
64,Gia Lai,1.08,2.25,0.64
66,Đắk Lắk,2.12,3.43,1.72
67,Đắk Nông,1.14,3.56,0.73
68,Lâm Đồng,0.84,1.41,0.52
70,Bình Phƣớc,2.73,3.4,2.54
72,Tây Ninh,1.54,1.47,1.55
74,Bình Dƣơng,2.67,2.67,2.64
75,Đồng Nai,1.62,1.98,1.45
77,Bà Rịa-Vũng Tàu,2.08,2.49,1.49
79,Thành phố Hồ Chí Minh,2.82,3.15,1.68
80,Long An,5.34,3.15,5.73
82,Tiền Giang,1.8,5.07,1.3
83,Bến Tre,1.88,2.02,1.87
84,Trà Vinh,2.88,3.49,2.75
86,Vĩnh Long,2.63,3.74,2.43
87,Đồng Tháp,1.28,5.21,0.4
89,An Giang,3.18,4.05,2.77
91,Kiên Giang,3.56,3.52,3.57
92,Cần Thơ,3.18,4.28,0.79
93,Hậu Giang,3.11,3.87,2.85
94,Sóc Trăng,2.91,3.4,2.67
95,Bạc Liêu,3.74,1.97,4.35
96,Cà Mau,2.1,4.56,1.44
