Mã số,Tỉnh,Chung,Thành thị,Nông thôn
1,Hà Nội,2.11,3.52,1.06
2,Hà Giang,1.03,3.27,0.62
4,Cao Bằng,0.96,2.59,0.55
6,Bắc Kạn,0.88,3.11,0.4
8,Tuyên Quang,1.4,3.33,1.17
10,Lào Cai,1.62,3.63,1.08
11,Điện Biên,0.45,2.94,0.03
12,Lai Châu,0.42,2.7,0.07
14,Sơn La,0.67,2.63,0.43
15,Yên Bái,0.73,1.78,0.52
17,Hoà Bình,0.44,2.68,0.19
19,Thái Nguyên,1.7,2.32,1.46
20,Lạng Sơn,1.84,4.46,1.26
22,Quảng Ninh,3.22,4.02,1.93
24,Bắc Giang,0.79,3.13,0.37
25,Phú Thọ,1.47,3.78,0.92
26,Vĩnh Phúc,2.09,3.05,1.73
27,Bắc Ninh,2.19,2.83,1.92
30,Hải Dương,1.7,2.17,1.52
31,Hải Phòng,2.37,3.8,1.38
33,Hưng Yên,2.67,2.78,2.65
34,Thái Bình,1.24,1.68,1.19
35,Hà Nam,1.76,3.76,1.22
36,Nam Định,1.68,2.33,1.52
37,Ninh Bình,1.36,1.3,1.38
38,Thanh Hoá,1.87,5.41,1.05
40,Nghệ An,1.26,2.99,1.01
42,Hà Tĩnh,3.18,4.98,2.66
44,Quảng Bình,3.49,5.09,3.08
45,Quảng Trị,3.93,4.44,3.71
46,Thừa Thiên Huế,4.29,5.04,3.58
48,Đà Nẵng,9.41,10.09,5.42
49,Quảng Nam,4.09,5.74,3.43
51,Quảng Ngãi,3.19,5.15,2.84
52,Bình Định,2.85,4.72,1.97
54,Phú Yên,2.76,4.29,2.21
56,Khánh Hoà,4.7,5.9,3.97
58,Ninh Thuận,3.32,5.07,2.41
60,Bình Thuận,2.86,4.2,2.09
62,Kon Tum,1.05,2.16,0.59
64,Gia Lai,1.76,2.14,1.62
66,Đắk Lắk,2.2,4.03,1.58
67,Đắk Nông,1.79,3.27,1.54
68,Lâm Đồng,0.98,1.84,0.47
70,Bình Phước,2.93,4.73,2.44
72,Tây Ninh,1.72,1.32,1.89
74,Bình Dương,3.31,3.35,3.13
75,Đồng Nai,1.86,2.03,1.74
77,Bà Rịa-Vũng Tàu,3.56,3.84,3.19
79,Thành phố Hồ Chí Minh,3.91,4.38,2.22
80,Long An,2.15,2.29,2.12
82,Tiền Giang,3.14,4.32,2.98
83,Bến Tre,2.16,1.75,2.2
84,Trà Vinh,2.22,3.25,2.02
86,Vĩnh Long,2.67,5.11,2.14
87,Đồng Tháp,2.79,3.93,2.55
89,An Giang,2.53,2.59,2.5
91,Kiên Giang,4.35,4.97,4.12
92,Cần Thơ,3.6,3.51,3.84
93,Hậu Giang,3.05,6.57,1.93
94,Sóc Trăng,2.1,3,1.67
95,Bạc Liêu,3.48,4.11,3.24
96,Cà Mau,2.27,4.88,1.58
